mise_a_jour;onglet;colonne;format;signification;statut;Contraintes
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programme_annuel;UG;text;Entité référente sur le dossier (ex. UGVO, UGVA). Il s'agit de l'entité juridique qui assurera le paiement des factures;obligatoire;Nom conforme à celui déclaré dans le référentiel périmètre de gestion de libreSQE
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programme_annuel;perimetre_facturation;text;Rattachement à une unité de facturation, par exemple à un projet d'une entité référente (ex. UGVE-Pont Billon pour le suivi du captage de Pont Billon par l'UGVE);obligatoire;Nom conforme à celui déclaré dans le référentiel périmètres de gestion de libreSQE
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programme_annuel;code_sandre_station;text;Code SANDRE de la station s'il est connu;obligatoire;Code conforme au référentiel SANDRE importé sous libreSQE
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programme_annuel;code_interne_station;text;Code interne de la station si cette dernière ne dispose pas de codifications SANDRE;facultatif;Code conforme au référentiel des codes stations sous libreSQE. Nota : dès qu'un code interne provisoire est remplacé par un code SANDRE, le code provisoire ne peut plus être utilisé.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programme_annuel;nom_station;text;Libellé de la station. Si la station dispose d'un code SANDRE, alors ce champs sera remplacé par le libellé officiel de la station à l'import du fichier.;obligatoire;
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programme_annuel;commentaires;text;Commentaires sur la mise en œuvre du suivi sur cette station de mesure.;facultatif;
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programme_annuel;type_station;text;Typologie affecté à la station (à une typologie correspond la mise en œuvre de prestataions selon l'onglet calendrier);obligatoire;Une vérification de cohérence entre les onglets calendrier et programme_annuel est réalisée. Le fichier est rejeté s'il n'y a pas de cohérence.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;type_station;text;Typologie affecté à la station (selon la même typologie que l'onglet programme annuel);obligatoire;Une vérification de cohérence entre les onglets calendrier et programme_annuel est réalisée. Le fichier est rejeté s'il n'y a pas de cohérence.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;programme;text;Programme type à réaliser;obligatoire;Les valeurs doivent toutes figurer parmi les valeurs de la colonne label_prestation de l'onglet BPU. Le fichier est rejeté s'il n'y a pas de cohérence.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;janvier;numeric;Nombre de prestations à réaliser sur le mois de janvier;obligatoire;Numeric. Toute autre valeur est convertie en valeur nulle.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;février;numeric;Nombre de prestations à réaliser sur le mois de février;obligatoire;Numeric. Toute autre valeur est convertie en valeur nulle.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;mars;numeric;Nombre de prestations à réaliser sur le mois de mars;obligatoire;Numeric. Toute autre valeur est convertie en valeur nulle.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;avril;numeric;Nombre de prestations à réaliser sur le mois d'avril;obligatoire;Numeric. Toute autre valeur est convertie en valeur nulle.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;mai;numeric;Nombre de prestations à réaliser sur le mois de mai;obligatoire;Numeric. Toute autre valeur est convertie en valeur nulle.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;juin;numeric;Nombre de prestations à réaliser sur le mois de juin;obligatoire;Numeric. Toute autre valeur est convertie en valeur nulle.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;juillet;numeric;Nombre de prestations à réaliser sur le mois de juillet;obligatoire;Numeric. Toute autre valeur est convertie en valeur nulle.
